,price,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage
150,11000,cabrio,2002,manuell,231,3er,150000,4,benzin,bmw,nein
151,15900,kombi,2008,automatik,235,5er,150000,5,diesel,bmw,nein
152,17000,cabrio,2008,automatik,344,andere,125000,4,benzin,audi,nein
153,15900,kombi,2010,manuell,177,5er,100000,5,diesel,bmw,nein
154,23000,limousine,2008,manuell,349,impreza,40000,2,benzin,subaru,nein
155,29700,bus,2010,automatik,179,transporter,150000,11,diesel,volkswagen,nein
156,31500,limousine,2011,automatik,299,5er,90000,9,diesel,bmw,nein
157,11500,coupe,2001,manuell,179,golf,100000,8,benzin,volkswagen,nein
158,12990,cabrio,2007,manuell,218,crossfire,70000,12,benzin,chrysler,nein
159,12900,limousine,1997,manuell,237,3er,150000,4,benzin,bmw,nein
160,24400,coupe,2006,manuell,295,andere,150000,2,benzin,porsche,nein
161,15000,kombi,2012,automatik,245,a6,70000,5,diesel,audi,nein
162,16400,limousine,2007,manuell,150,x_reihe,125000,3,diesel,bmw,nein
163,17700,limousine,2011,automatik,170,e_klasse,150000,6,diesel,mercedes_benz,nein
164,16960,suv,2013,manuell,122,tiguan,30000,6,benzin,volkswagen,nein
165,26500,suv,2011,automatik,231,glk,70000,10,diesel,mercedes_benz,nein
166,14400,coupe,2008,automatik,299,passat,125000,8,benzin,volkswagen,nein
167,20900,kombi,2014,manuell,110,a3,20000,11,benzin,audi,nein
168,10900,limousine,2008,manuell,160,a4,100000,5,benzin,audi,nein
169,12500,limousine,2007,manuell,140,golf,150000,8,diesel,volkswagen,nein
170,13000,limousine,2008,automatik,177,5er,125000,10,diesel,bmw,nein
171,10000,limousine,2012,manuell,177,a4,150000,3,diesel,audi,nein
172,51000,kombi,2015,automatik,258,5er,5000,3,diesel,bmw,nein
173,18500,kombi,2014,manuell,140,passat,50000,4,diesel,volkswagen,nein
174,10999,limousine,2006,automatik,177,5er,30000,3,benzin,bmw,nein
175,50950,suv,2014,automatik,256,discovery,20000,3,diesel,land_rover,nein
176,12400,cabrio,2008,manuell,136,c_reihe,150000,5,diesel,volvo,nein
177,20990,coupe,2009,manuell,211,a5,125000,11,benzin,audi,nein
178,15700,coupe,2012,manuell,160,scirocco,50000,8,benzin,volkswagen,nein
179,14200,cabrio,2005,automatik,231,slk,100000,7,benzin,mercedes_benz,nein
180,18000,kombi,2008,manuell,200,a3,70000,10,benzin,audi,nein
181,13999,limousine,2011,manuell,143,1er,40000,11,diesel,bmw,nein
182,13900,cabrio,2009,manuell,143,1er,70000,5,benzin,bmw,nein
183,10550,cabrio,2008,manuell,126,mx_reihe,100000,10,benzin,mazda,nein
184,13000,limousine,2011,manuell,143,1er,125000,11,diesel,bmw,nein
185,21900,limousine,2009,automatik,235,x_reihe,125000,10,diesel,bmw,nein
186,16990,kombi,2012,manuell,140,astra,40000,7,benzin,opel,nein
187,13990,kombi,2010,manuell,160,golf,100000,3,benzin,volkswagen,nein
188,18000,limousine,2008,automatik,232,a8,125000,12,diesel,audi,nein
189,14999,kombi,2008,automatik,184,c_klasse,125000,2,benzin,mercedes_benz,nein
190,19850,limousine,2013,automatik,150,golf,60000,6,diesel,volkswagen,nein
191,15000,kleinwagen,2014,manuell,200,andere,40000,9,benzin,peugeot,nein
192,13499,kombi,2013,manuell,140,andere,30000,9,benzin,chevrolet,nein
193,14200,coupe,2009,manuell,179,a5,80000,6,benzin,audi,nein
194,15350,limousine,2011,manuell,163,3er,100000,6,diesel,bmw,nein
195,10800,kombi,2010,manuell,166,5er,150000,5,diesel,bmw,nein
196,10900,limousine,2003,automatik,334,a8,150000,3,benzin,audi,nein
197,11000,limousine,2010,automatik,204,5er,90000,6,diesel,bmw,nein
198,33499,limousine,2015,manuell,184,a3,30000,2,diesel,audi,nein
199,24750,coupe,2010,automatik,239,a5,80000,11,diesel,audi,nein
200,14499,coupe,2010,automatik,177,1er,150000,9,diesel,bmw,nein
201,15700,suv,2006,automatik,224,touareg,150000,10,diesel,volkswagen,nein
202,12990,limousine,2007,automatik,235,5er,150000,11,diesel,bmw,nein
203,42500,suv,2014,automatik,190,x_reihe,30000,8,diesel,bmw,nein
204,12500,limousine,2010,manuell,143,x_reihe,150000,9,diesel,bmw,nein
205,23950,bus,2007,manuell,174,transporter,150000,3,diesel,volkswagen,nein
206,42900,coupe,2002,manuell,320,911,70000,6,benzin,porsche,nein
207,18600,limousine,2013,manuell,140,leon,30000,6,benzin,seat,nein
208,10500,cabrio,2005,automatik,163,a4,100000,7,benzin,audi,nein
209,25000,coupe,2011,automatik,204,e_klasse,100000,7,diesel,mercedes_benz,nein
210,25900,bus,2012,automatik,163,viano,80000,5,diesel,mercedes_benz,nein
211,35911,coupe,2007,manuell,295,andere,20000,5,benzin,porsche,nein
212,13490,limousine,2006,automatik,334,a6,150000,1,benzin,audi,nein
213,27300,coupe,2012,manuell,170,a5,50000,5,benzin,audi,nein
214,20000,limousine,2010,automatik,239,a6,150000,5,diesel,audi,nein
215,36890,cabrio,2012,automatik,265,e_klasse,40000,1,diesel,mercedes_benz,nein
216,14500,coupe,2006,automatik,219,cl,150000,11,diesel,mercedes_benz,nein
217,18999,limousine,2003,manuell,241,golf,80000,7,benzin,volkswagen,nein
218,13450,bus,2013,manuell,140,zafira,80000,3,benzin,opel,nein
219,10999,bus,2011,manuell,105,touran,150000,4,diesel,volkswagen,nein
220,11000,limousine,2008,manuell,156,c_klasse,125000,9,benzin,mercedes_benz,nein
221,18000,limousine,2010,automatik,245,7er,60000,11,diesel,bmw,nein
222,14300,kombi,2010,manuell,184,3er,150000,12,diesel,bmw,nein
223,20000,limousine,2014,automatik,184,leon,40000,4,diesel,seat,nein
224,24000,bus,2014,manuell,155,transit,90000,8,diesel,ford,nein
225,12899,coupe,2010,manuell,122,scirocco,100000,4,benzin,volkswagen,nein
226,27999,limousine,2010,automatik,272,c_klasse,70000,3,benzin,mercedes_benz,nein
227,16000,limousine,2014,manuell,143,x_reihe,125000,3,diesel,bmw,nein
228,23850,bus,2011,manuell,102,transporter,125000,11,diesel,volkswagen,nein
229,12200,limousine,2009,manuell,120,a4,100000,6,benzin,audi,nein
230,16400,kombi,2011,manuell,170,octavia,80000,1,diesel,skoda,nein
231,26000,kombi,2013,automatik,170,e_klasse,50000,3,diesel,mercedes_benz,nein
232,23300,suv,2015,automatik,136,andere,30000,7,diesel,opel,nein
233,11500,limousine,2009,manuell,179,a4,150000,9,benzin,audi,nein
234,10999,limousine,2011,manuell,122,1er,60000,6,benzin,bmw,nein
235,39900,kombi,2014,automatik,300,andere,30000,5,benzin,audi,nein
236,23999,limousine,2012,manuell,180,a4,80000,5,diesel,audi,nein
237,22900,limousine,2014,automatik,125,a3,20000,10,benzin,audi,nein
238,14000,bus,2005,manuell,174,transporter,150000,9,diesel,volkswagen,nein
239,18750,limousine,2014,manuell,150,golf,20000,9,diesel,volkswagen,nein
240,10000,suv,2007,manuell,150,cr_reihe,150000,2,benzin,honda,nein
241,10000,suv,2008,automatik,185,xc_reihe,90000,1,diesel,volvo,nein
242,14900,bus,2010,automatik,170,touran,150000,4,diesel,volkswagen,nein
243,14900,suv,2012,manuell,140,kuga,90000,11,diesel,ford,nein
244,16000,suv,2007,automatik,190,m_klasse,150000,10,diesel,mercedes_benz,nein
245,23900,suv,2007,automatik,224,m_klasse,80000,12,diesel,mercedes_benz,nein
246,17999,limousine,2008,manuell,300,impreza,100000,9,benzin,subaru,nein
247,16900,andere,2002,automatik,122,vito,5000,12,diesel,mercedes_benz,nein
248,19986,cabrio,2004,manuell,260,boxster,60000,7,benzin,porsche,nein
249,12400,cabrio,2010,automatik,110,megane,150000,12,diesel,renault,nein
250,14900,limousine,2008,automatik,196,x_type,125000,6,benzin,jaguar,nein
251,12500,kombi,2005,manuell,224,a6,150000,8,diesel,audi,nein
252,10000,limousine,2011,manuell,150,avensis,150000,5,diesel,toyota,nein
253,37999,kombi,2012,automatik,245,a6,90000,7,diesel,audi,nein
254,11490,bus,2009,manuell,140,touran,125000,5,diesel,volkswagen,nein
255,12999,kombi,2010,manuell,136,c_klasse,125000,10,diesel,mercedes_benz,nein
256,11900,kombi,2009,automatik,143,a4,150000,6,diesel,audi,nein
257,11999,suv,2007,manuell,150,x_trail,125000,7,diesel,nissan,nein
258,11500,suv,2009,manuell,114,qashqai,80000,3,benzin,nissan,nein
259,22950,suv,2009,automatik,224,m_klasse,100000,5,diesel,mercedes_benz,nein
260,11800,bus,2009,automatik,116,sharan,150000,3,diesel,volkswagen,nein
261,33400,suv,2011,automatik,184,x_reihe,60000,6,diesel,bmw,nein
262,15400,limousine,2009,automatik,177,x_reihe,125000,3,diesel,bmw,nein
263,15900,cabrio,2003,manuell,228,boxster,90000,7,benzin,porsche,nein
264,10500,limousine,2005,automatik,232,a8,150000,2,diesel,audi,nein
265,10450,kombi,2006,manuell,231,3er,150000,4,diesel,bmw,nein
266,12690,cabrio,2007,automatik,163,a4,100000,3,benzin,audi,nein
267,25999,cabrio,2009,automatik,272,tt,90000,1,benzin,audi,nein
268,13700,limousine,2012,manuell,117,qashqai,150000,3,benzin,nissan,nein
269,22222,suv,2013,manuell,160,tiguan,30000,12,benzin,volkswagen,nein
270,17500,coupe,2006,automatik,306,3er,150000,8,benzin,bmw,nein
271,20700,limousine,2009,automatik,245,7er,150000,3,diesel,bmw,nein
272,34500,coupe,2009,manuell,265,andere,30000,4,benzin,porsche,nein
273,18300,coupe,2007,manuell,306,3er,150000,12,benzin,bmw,nein
274,28500,limousine,2013,automatik,230,golf,30000,9,benzin,volkswagen,nein
275,17900,limousine,2010,manuell,170,a6,70000,10,diesel,audi,nein
276,10500,limousine,2015,manuell,110,i_reihe,10000,11,diesel,hyundai,nein
277,12000,limousine,2008,manuell,160,a4,20000,9,benzin,audi,nein
278,11450,bus,2008,automatik,140,s_max,150000,5,diesel,ford,nein
279,12300,limousine,2012,manuell,143,1er,70000,3,diesel,bmw,nein
280,15799,kombi,2011,automatik,143,3er,150000,3,diesel,bmw,nein
281,26950,cabrio,2003,manuell,200,andere,30000,8,benzin,opel,nein
282,15700,kombi,2011,automatik,143,3er,100000,6,diesel,bmw,nein
283,17900,kombi,2012,automatik,136,i_reihe,60000,5,diesel,hyundai,nein
284,35890,bus,2012,manuell,140,transporter,90000,9,diesel,volkswagen,nein
285,19600,coupe,2009,automatik,272,tt,150000,7,benzin,audi,nein
286,11900,cabrio,2008,manuell,105,a3,150000,4,diesel,audi,nein
287,18100,kombi,2013,automatik,147,avensis,40000,5,benzin,toyota,nein
288,14900,kombi,2013,manuell,122,passat,60000,7,benzin,volkswagen,nein
289,16650,limousine,2013,manuell,117,qashqai,30000,7,benzin,nissan,nein
290,22750,limousine,2015,automatik,110,golf,40000,3,diesel,volkswagen,nein
291,12499,kombi,2008,manuell,170,3er,125000,11,benzin,bmw,nein
292,19200,limousine,2013,automatik,122,a_klasse,30000,6,benzin,mercedes_benz,nein
293,29999,kombi,2013,automatik,143,a4,90000,1,diesel,audi,nein
294,47900,suv,2011,automatik,313,range_rover,60000,12,diesel,land_rover,nein
295,11990,kombi,2011,manuell,122,golf,90000,9,benzin,volkswagen,nein
296,19450,cabrio,2011,manuell,143,1er,90000,1,benzin,bmw,nein
297,15500,suv,2006,automatik,306,m_klasse,150000,3,lpg,mercedes_benz,nein
298,10000,limousine,2009,manuell,140,c5,60000,10,diesel,citroen,nein
299,40899,bus,2015,manuell,179,transporter,20000,3,diesel,volkswagen,nein
300,11500,andere,2010,manuell,190,sprinter,150000,1,diesel,mercedes_benz,nein
301,15990,cabrio,2006,manuell,177,z_reihe,80000,4,benzin,bmw,nein
302,11999,limousine,2006,automatik,231,e_klasse,150000,3,benzin,mercedes_benz,nein
303,30500,cabrio,2012,manuell,170,e_klasse,30000,10,diesel,mercedes_benz,nein
304,20000,limousine,2014,manuell,135,ceed,30000,3,benzin,kia,nein
305,12500,limousine,2011,manuell,116,1er,50000,2,diesel,bmw,nein
306,24500,coupe,2009,automatik,354,andere,125000,12,benzin,audi,nein
307,23999,limousine,2010,automatik,245,5er,150000,10,diesel,bmw,nein
308,15799,kombi,2009,manuell,170,a6,90000,7,diesel,audi,nein
309,15000,limousine,2010,automatik,170,a6,150000,6,diesel,audi,nein
310,14490,suv,2012,manuell,110,yeti,60000,2,diesel,skoda,nein
311,17500,suv,2009,automatik,241,touareg,150000,8,diesel,volkswagen,nein
312,24999,coupe,2008,manuell,306,3er,125000,5,benzin,bmw,nein
313,14900,coupe,2007,automatik,218,3er,150000,8,benzin,bmw,nein
314,15000,coupe,1983,manuell,200,3er,125000,7,benzin,bmw,nein
315,17500,limousine,2013,automatik,122,a_klasse,40000,2,benzin,mercedes_benz,nein
316,11000,limousine,2004,automatik,224,e_klasse,125000,7,benzin,mercedes_benz,nein
317,24950,limousine,2010,automatik,245,5er,125000,12,diesel,bmw,nein
318,14990,limousine,2008,automatik,177,x_reihe,150000,2,diesel,bmw,nein
319,19950,cabrio,2009,automatik,170,3er,60000,3,benzin,bmw,nein
320,49900,coupe,1993,automatik,349,andere,125000,5,benzin,porsche,nein
321,26900,suv,2011,automatik,245,x_reihe,125000,1,diesel,bmw,nein
322,11390,limousine,2008,automatik,190,e_klasse,150000,4,diesel,mercedes_benz,ja
323,10890,cabrio,2004,automatik,192,3er,150000,5,benzin,bmw,nein
324,12150,kombi,2009,manuell,170,6_reihe,60000,7,benzin,mazda,nein
325,47499,suv,2012,automatik,245,q7,70000,10,diesel,audi,nein
326,14000,limousine,2011,automatik,245,5er,90000,7,diesel,bmw,nein
327,31500,suv,2013,automatik,245,touareg,125000,3,diesel,volkswagen,nein
328,14700,suv,2006,automatik,224,touareg,150000,1,diesel,volkswagen,nein
329,15750,kombi,2010,manuell,211,a4,150000,10,benzin,audi,nein
330,23500,cabrio,2004,manuell,344,andere,100000,7,benzin,audi,nein
331,19199,coupe,2012,manuell,170,scirocco,60000,4,diesel,volkswagen,nein
332,26899,limousine,2012,automatik,204,a6,60000,1,benzin,audi,nein
333,12699,kombi,2011,manuell,105,golf,70000,11,benzin,volkswagen,nein
334,20399,limousine,2010,manuell,204,5er,150000,8,benzin,bmw,nein
335,12400,limousine,2009,manuell,143,1er,100000,7,diesel,bmw,nein
336,11900,bus,2009,automatik,140,touran,150000,3,diesel,volkswagen,nein
337,17999,coupe,2011,automatik,204,c_klasse,150000,4,diesel,mercedes_benz,nein
338,28850,coupe,2013,automatik,184,e_klasse,70000,6,benzin,mercedes_benz,nein
339,28800,suv,2014,automatik,175,cx_reihe,30000,1,diesel,mazda,nein
340,19200,suv,2005,automatik,340,cayenne,80000,2,benzin,porsche,nein
341,10500,limousine,2013,manuell,105,octavia,40000,6,benzin,skoda,nein
342,15150,kombi,2010,manuell,160,a4,90000,5,benzin,audi,nein
343,14990,cabrio,2008,manuell,170,1er,90000,4,benzin,bmw,nein
344,11400,kombi,2008,manuell,177,5er,150000,8,diesel,bmw,nein
345,17299,limousine,2009,manuell,170,octavia,60000,11,diesel,skoda,nein
346,30990,limousine,2013,automatik,204,e_klasse,90000,1,diesel,mercedes_benz,nein
347,14900,limousine,2009,automatik,231,e_klasse,150000,9,diesel,mercedes_benz,nein
348,20500,kombi,2014,automatik,140,passat,60000,4,diesel,volkswagen,nein
349,19750,kombi,2009,automatik,272,3er,100000,6,benzin,bmw,nein
350,12190,kombi,2009,manuell,224,c_klasse,150000,9,diesel,mercedes_benz,nein
351,13500,kombi,2010,manuell,116,3er,100000,4,diesel,bmw,ja
352,13900,limousine,1974,manuell,145,andere,80000,3,benzin,opel,nein
353,28500,bus,2013,manuell,114,transporter,40000,11,diesel,volkswagen,nein
354,18440,bus,2010,automatik,163,s_max,100000,7,diesel,ford,nein
355,13500,limousine,2009,manuell,122,golf,100000,7,benzin,volkswagen,nein
356,13000,limousine,2007,manuell,150,x_reihe,100000,8,diesel,bmw,nein
357,11900,cabrio,2004,manuell,192,z_reihe,90000,4,benzin,bmw,ja
358,19500,kleinwagen,2011,manuell,211,cooper,70000,3,benzin,mini,nein
